Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.262736374,1.35E-46,0.302718678,0.240963855,0.80876494,0,0.039106145,0.994605805,2.91E-31,0.834456865,88,1.44E-13,1.92E-13,447826.2546,87.35098036,111.0958028,20.02693633,5.1,2.9,20,-6,-1,7
0.26323693,1.35E-46,0.301674202,0.240963855,0.796812749,0,0.039106145,0.993963492,2.80E-31,0.867404198,89,1.53E-13,1.92E-13,447777.7097,87.34690967,99.58880137,20.81765981,3,3.3,20,-9,-1,7
0.261846496,1.27E-46,0.299814163,0.325301205,0.792828685,0,0.067039106,0.975432692,2.68E-31,0.898972448,90,1.28E-13,1.84E-13,447691.2593,87.22946983,87.58532625,21.57528582,3.9,3.9,27,-10,-1,12
0.261846496,1.33E-46,0.300559724,0.325301205,0.804780876,0,0.067039106,0.988673813,2.15E-31,0.818159705,91,1.28E-13,1.90E-13,447725.9113,87.31338607,35.25028687,19.63581068,4.1,3.9,27,-7,-1,12
0.266629588,1.57E-46,0.302186206,0.361445783,0.792828685,0,0.083798883,0.996329619,2.04E-31,0.850742549,92,2.14E-13,2.14E-13,447801.5065,87.36190511,23.61204168,20.41778655,4.2,3.6,30,-10,-1,15
0.261457175,1.39E-46,0.301574786,0.361445783,0.77689243,0,0.083798883,0.986056864,1.92E-31,0.882876118,93,1.21E-13,1.96E-13,447773.0891,87.29680103,11.81205459,21.18898001,3.3,3.4,30,-14,-1,15
0.261179088,1.46E-46,0.299419191,0.240963855,0.796812749,0,0.039106145,0.977611901,1.39E-31,0.801608285,94,1.16E-13,2.03E-13,447672.9019,87.24328067,-40.68683256,19.23858288,3.4,3.2,20,-9,-1,7
0.261679644,1.44E-46,0.300359207,0.240963855,0.800796813,0,0.039106145,0.994522246,1.27E-31,0.833117693,95,1.25E-13,2.01E-13,447716.5917,87.3504508,-52.71152183,19.9947967,3.7,2.5,20,-8,-1,7
0.263181313,1.28E-46,0.301066022,0.204819277,0.816733068,0,0.033519553,0.993729701,1.16E-31,0.866051423,96,1.52E-13,1.85E-13,447749.4429,87.34542801,-64.22346634,20.78519371,3.4,2.3,17,-4,-1,6
0.264794216,1.35E-46,0.302314854,0.204819277,0.80876494,0,0.033519553,0.975089997,1.04E-31,0.897589038,97,1.81E-13,1.92E-13,447807.4858,87.22729798,-76.23800825,21.5420845,3.7,2.1,17,-6,-1,6
